Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Sharpe Ratio Float
20,3,25,2.11,"14,122.40","14,559.20",182.45,29.92,43.21,1.57,990,180,810,18.18,1.69,0.41,23.35,6.37,-4.70,-4.70,0.96,0.31,0.41
25,3,24,2.06,"13,682.20","14,144.00",173.64,28.88,43.28,1.49,970,181,789,18.66,1.68,0.41,22.46,5.84,-4.94,-4.94,0.96,0.32,0.41
25,4,15,2.25,"12,801.80","13,286.08",156.04,26.74,43.28,1.34,1055,318,737,30.14,1.50,0.41,12.04,5.33,-5.02,-5.02,0.96,0.31,0.41
15,3,25,2.20,"14,511.60","14,964.64",190.23,30.81,43.82,1.58,1035,188,847,18.16,1.69,0.41,23.30,5.90,-5.23,-5.23,0.96,0.30,0.41
30,3,29,1.93,"14,557.84","14,880.80",191.16,30.92,43.59,1.61,909,152,757,16.72,1.78,0.41,27.54,7.54,-4.10,-4.10,0.96,0.33,0.41
30,3,28,1.96,"14,394.20","14,747.16",187.88,30.54,43.59,1.61,920,157,763,17.07,1.76,0.41,26.53,7.14,-4.28,-4.28,0.96,0.33,0.41
30,4,14,2.25,"12,540.56","13,037.36",150.81,26.09,43.59,1.29,1056,333,723,31.53,1.49,0.41,11.49,5.10,-5.12,-5.12,0.96,0.32,0.41
30,4,13,2.29,"12,150.76","12,638.80",143.02,25.09,43.59,1.26,1076,353,723,32.81,1.47,0.41,10.58,5.15,-4.87,-4.87,0.96,0.32,0.41
15,4,20,2.22,"14,025.44","14,545.88",180.51,29.69,43.82,1.54,1044,260,784,24.90,1.54,0.41,14.94,5.65,-5.26,-5.26,0.96,0.31,0.41
20,4,19,2.17,"13,277.68","14,078.12",165.55,27.91,43.21,1.45,1018,260,758,25.54,1.51,0.41,13.94,3.98,-7.02,-7.02,0.96,0.32,0.41
20,4,18,2.21,"12,894.12","13,755.80",157.88,26.97,43.21,1.39,1037,272,765,26.23,1.49,0.41,12.93,3.57,-7.55,-7.55,0.96,0.31,0.41
30,3,25,2.01,"13,856.96","14,261.28",177.14,29.30,43.59,1.53,946,173,773,18.29,1.71,0.41,23.67,6.41,-4.57,-4.57,0.96,0.32,0.41
20,8,17,1.95,"14,390.40","14,684.48",187.81,30.53,43.21,1.64,915,377,538,41.20,1.42,0.41,8.03,5.29,-5.77,-5.77,0.96,0.34,0.41
25,4,19,2.10,"13,318.64","14,119.08",166.37,28.01,43.28,1.44,989,255,734,25.78,1.53,0.41,14.37,4.00,-7.00,-7.00,0.96,0.32,0.41
25,4,18,2.15,"12,960.08","13,821.76",159.20,27.14,43.28,1.39,1008,267,741,26.49,1.51,0.41,13.38,3.61,-7.52,-7.52,0.96,0.32,0.41
15,3,30,2.09,"15,122.32","15,464.00",202.45,32.18,43.82,1.70,982,158,824,16.09,1.76,0.41,27.42,6.11,-5.26,-5.26,0.96,0.31,0.41
15,3,29,2.11,"14,793.68","15,172.56",195.87,31.45,43.82,1.68,993,162,831,16.31,1.73,0.41,26.09,5.92,-5.31,-5.31,0.96,0.31,0.41
